2025-10-24T03:43:20.000000000Z [inf]  Starting Container
2025-10-24T03:43:21.894265782Z [inf]  Initializing...
2025-10-24T03:43:25.817817415Z [inf]  Starting Uvicorn server...
2025-10-24T03:43:25.817824737Z [inf]  Starting Google Drive sync worker...
2025-10-24T03:43:25.817834477Z [inf]  Starting ingestion worker...
2025-10-24T03:43:25.877647716Z [err]  Traceback (most recent call last):
2025-10-24T03:43:25.877657697Z [err]    File "/app/run_worker.py", line 3, in <module>
2025-10-24T03:43:25.877663596Z [err]      from app.workers.main_worker import MainWorker
2025-10-24T03:43:25.877669713Z [err]    File "/app/app/workers/main_worker.py", line 1
2025-10-24T03:43:25.877674723Z [err]      ```python
2025-10-24T03:43:25.877679912Z [err]      ^
2025-10-24T03:43:25.877685242Z [err]  SyntaxError: invalid syntax
2025-10-24T03:43:26.829363628Z [err]    File "/usr/local/lib/python3.11/importlib/__init__.py", line 126, in import_module
2025-10-24T03:43:26.829373917Z [err]               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-10-24T03:43:26.829373979Z [err]      module = importlib.import_module(module_str)
2025-10-24T03:43:26.830046522Z [err]  Traceback (most recent call last):
2025-10-24T03:43:26.830052754Z [err]    File "/usr/local/bin/uvicorn", line 8, in <module>
2025-10-24T03:43:26.830059434Z [err]      sys.exit(main())
2025-10-24T03:43:26.830084110Z [err]               ^^^^^^
2025-10-24T03:43:26.830092013Z [err]    File "/usr/local/lib/python3.11/site-packages/click/core.py", line 1462, in __call__
2025-10-24T03:43:26.830099755Z [err]      return self.main(*args, **kwargs)
2025-10-24T03:43:26.830106711Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-10-24T03:43:26.830114662Z [err]    File "/usr/local/lib/python3.11/site-packages/click/core.py", line 1383, in main
2025-10-24T03:43:26.830120718Z [err]      rv = self.invoke(ctx)
2025-10-24T03:43:26.830127088Z [err]           ^^^^^^^^^^^^^^^^
2025-10-24T03:43:26.830250718Z [err]    File "/usr/local/lib/python3.11/site-packages/click/core.py", line 1246, in invoke
2025-10-24T03:43:26.830317124Z [err]      return ctx.invoke(self.callback, **ctx.params)
2025-10-24T03:43:26.830324234Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-10-24T03:43:26.830331633Z [err]    File "/usr/local/lib/python3.11/site-packages/click/core.py", line 814, in invoke
2025-10-24T03:43:26.830339822Z [err]      return callback(*args, **kwargs)
2025-10-24T03:43:26.830347442Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^
2025-10-24T03:43:26.830355057Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/main.py", line 423, in main
2025-10-24T03:43:26.830362985Z [err]      run(
2025-10-24T03:43:26.830370290Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/main.py", line 593, in run
2025-10-24T03:43:26.830375738Z [err]      server.run()
2025-10-24T03:43:26.830381259Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/server.py", line 67, in run
2025-10-24T03:43:26.830387199Z [err]      return asyncio_run(self.serve(sockets=sockets), loop_factory=self.config.get_loop_factory())
2025-10-24T03:43:26.830694013Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-10-24T03:43:26.830698916Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/_compat.py", line 30, in asyncio_run
2025-10-24T03:43:26.830703355Z [err]      return runner.run(main)
2025-10-24T03:43:26.830708122Z [err]             ^^^^^^^^^^^^^^^^
2025-10-24T03:43:26.830713253Z [err]    File "/usr/local/lib/python3.11/asyncio/runners.py", line 118, in run
2025-10-24T03:43:26.830718463Z [err]      return self._loop.run_until_complete(task)
2025-10-24T03:43:26.830723595Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-10-24T03:43:26.830733393Z [err]    File "/usr/local/lib/python3.11/asyncio/base_events.py", line 654, in run_until_complete
2025-10-24T03:43:26.830738613Z [err]      return future.result()
2025-10-24T03:43:26.830743304Z [err]             ^^^^^^^^^^^^^^^
2025-10-24T03:43:26.830747960Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/server.py", line 71, in serve
2025-10-24T03:43:26.830753028Z [err]      await self._serve(sockets)
2025-10-24T03:43:26.830759494Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/server.py", line 78, in _serve
2025-10-24T03:43:26.830763670Z [err]      config.load()
2025-10-24T03:43:26.830767860Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/config.py", line 439, in load
